Rank,WSID,Kickers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Greg ZuerleinG. Zuerlein LAR,,1,2,1.2,0.4
2,,Justin TuckerJ. Tucker BAL,,1,3,2.1,0.5
3,,Stephen GostkowskiS. Gostkowski NE,,1,5,3.7,0.5
4,,Harrison ButkerH. Butker KC,,2,5,3.7,0.9
Tier 2,
5,,Ka'imi FairbairnK. Fairbairn HOU,,3,6,4.9,0.7
6,,Wil LutzW. Lutz NO,,3,7,6.2,0.4
7,,Matt BryantM. Bryant FA,,6,13,8.6,2.3
8,,Mason CrosbyM. Crosby GB,,7,16,10.1,2.5
9,,Matt PraterM. Prater DET,,8,14,10.2,1.9
Tier 3,
10,,Jake ElliottJ. Elliott PHI,,9,19,11.1,3.0
11,,Brett MaherB. Maher DAL,,7,18,13.3,3.2
12,,Graham GanoG. Gano CAR,,7,19,13.5,2.7
13,,Robbie GouldR. Gould SF,,7,23,14.4,3.1
14,,Michael BadgleyM. Badgley LAC,,8,20,13.1,3.5
15,,Dan BaileyD. Bailey MIN,,10,22,16.0,2.4
16,,Adam VinatieriA. Vinatieri IND,,11,26,16.8,4.9
17,,Aldrick RosasA. Rosas NYG,,8,36,17.6,4.3
18,,Brandon McManusB. McManus DEN,,16,22,18.4,1.6
Tier 4,
19,,Ryan SuccopR. Succop TEN,,10,23,18.7,2.4
20,,Jason MyersJ. Myers NYJ,,11,35,19.1,6.2
21,,Sebastian JanikowskiS. Janikowski SEA,,9,30,20.6,3.7
22,,Chris BoswellC. Boswell PIT,,8,23,19.2,4.3
23,,Josh LamboJ. Lambo JAC,,7,28,24.2,2.3
24,,Steven HauschkaS. Hauschka BUF,,6,26,24.4,0.8
25,,Cody ParkeyC. Parkey FA,,5,34,24.0,4.8
26,,Cairo SantosC. Santos TB,,3,28,25.4,3.6
27,,Greg JosephG. Joseph CLE,,2,27,24.3,2.6
28,,Daniel CarlsonD. Carlson OAK,,4,33,27.2,2.6
Tier 5,
29,,Dustin HopkinsD. Hopkins WAS,,21,30,27.8,1.2
30,,Jason SandersJ. Sanders MIA,,21,37,30.5,6.0
31,,Randy BullockR. Bullock CIN,,29,35,31.0,2.4
32,,Chandler CatanzaroC. Catanzaro CAR,,17,32,24.5,7.5
33,,Kai ForbathK. Forbath FA,,27,28,27.5,0.5
34,,Phil DawsonP. Dawson ARI,,29,32,30.5,1.5
35,,Zane GonzalezZ. Gonzalez ARI,,31,36,33.0,2.2
36,,Giorgio TavecchioG. Tavecchio ATL,,31,33,32.0,1.0
