Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
91,,Corey GrantC. Grant JAC,,84,93,88.1,0.9
92,,Jeremy HillJ. Hill NE,,81,125,94.6,9.7
93,,Alfred MorrisA. Morris SF,,80,133,93.5,3.8
94,,Cameron Artis-PayneC. Artis-Payne CAR,,82,110,95.3,2.0
95,,Marshawn LynchM. Lynch OAK,,36,113,85.0,27.5
96,,Zach ZennerZ. Zenner DET,,58,106,91.5,7.5
97,,Marcus MurphyM. Murphy BUF,,89,127,98.1,1.8
98,,Darrel WilliamsD. Williams KC,,73,103,96.1,8.0
99,,Jacquizz RodgersJ. Rodgers TB,,85,113,96.2,2.3
100,,Brian HillB. Hill ATL,,66,120,96.3,6.4
101,,Boston ScottB. Scott PHI,,80,119,97.3,0.7
102,,DeAndre WashingtonD. Washington OAK,,81,102,94.0,7.1
Tier 10,
103,,Robert KelleyR. Kelley WAS,,86,100,92.0,5.9
104,,Kyle JuszczykK. Juszczyk SF,,95,108,99.0,5.2
105,,Samaje PerineS. Perine WAS,,88,103,95.0,6.2
106,,Charcandrick WestC. West KC,,98,105,102.5,2.9
107,,Tavon AustinT. Austin DAL,,85,101,93.0,8.0
108,,C.J. ProsiseC. Prosise SEA,,91,95,93.0,2.0
109,,Dwayne WashingtonD. Washington NO,,96,102,99.0,3.0
110,,Mike BooneM. Boone MIN,,91,111,101.0,10.0
111,,Detrez NewsomeD. Newsome LAC,,92,123,108.3,12.7
112,,De'Angelo HendersonD. Henderson NYJ,,98,126,109.3,12.0
113,,Justin DavisJ. Davis LAR,,106,112,108.3,2.6
114,,Kapri BibbsK. Bibbs GB,,104,106,105.0,1.0
115,,J.D. McKissicJ. McKissic SEA,,103,118,109.7,6.2
116,,Taquan MizzellT. Mizzell CHI,,105,107,106.0,1.0
117,,Roc ThomasR. Thomas MIN,,102,112,107.0,5.0
118,,Raheem MostertR. Mostert SF,,107,117,110.7,4.5
119,,Byron MarshallB. Marshall WAS,,101,124,112.5,11.5
120,,David WilliamsD. Williams JAC,,109,137,118.3,13.2
121,,Elijhaa PennyE. Penny NYG,,104,131,117.5,13.5
122,,T.J. LoganT. Logan ARI,,105,129,117.0,12.0
Tier 11,
123,,Keith FordK. Ford BUF,,110,148,129.0,19.0
124,,De'Lance TurnerD. Turner BAL,,112,130,121.0,9.0
